strain	virus	date	accesion	host	country	region	db	segment	url	
C11_turkey_2011	CABYV	2011-XX-XX	MT219980.1	Zucchini	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219980.1	
C5_turkey_2011	CABYV	2011-XX-XX	MT219979.1	Zucchini	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219979.1	
C17_turkey_2011	CABYV	2011-XX-XX	MT219983.1	Melon	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219983.1	
694-11_serbia_2011	CABYV	2011-XX-XX	JX262100.1	Pumpkin	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262100.1	
610-11_serbia_2011	CABYV	2011-XX-XX	JX262099.1	Melon	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262099.1	
570-11_serbia_2011	CABYV	2011-XX-XX	JX262098.1	Cucumber	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262098.1	
488-11_serbia_2011	CABYV	2011-XX-XX	JX262097.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262097.1	
439-11_serbia_2011	CABYV	2011-XX-XX	JX262096.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262096.1	
441-11_serbia_2011	CABYV	2011-XX-XX	JX262095.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262095.1	
433-11_serbia_2011	CABYV	2011-XX-XX	JX262094.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262094.1	
432-11_serbia_2011	CABYV	2011-XX-XX	JX262093.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262093.1	
422-11_serbia_2011	CABYV	2011-XX-XX	JX262092.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262092.1	
168-11_serbia_2011	CABYV	2011-XX-XX	JX262091.1	Zucchini	Serbia	Serbia	genbank	cp		
Elkoreen-4_egypt_2011	CABYV	2011-XX-XX	FR822387.1	Pumpkin	Egypt	El-sharkia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FR822387.1	
Elkoreen-3_egypt_2011	CABYV	2011-XX-XX	FR822386.1	Cucurbita sp.	Egypt	El-sharkia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FR822386.1	
Elkoreen-2_egypt_2011	CABYV	2011-XX-XX	FR822385.1	Cucurbita sp.	Egypt	El-sharkia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FR822385.1	
Elkoreen-1_egypt_2011	CABYV	2011-XX-XX	FR822384.1	Cucurbita sp.	Egypt	El-sharkia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FR822384.1	
Elsalheia_egypt_2011	CABYV	2011-XX-XX	FR822383.1	Cucurbita sp.	Egypt	Ismaellia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/FR822383.1	
2.1Me_M_Mos_2011	CABYV	2011-XX-XX	OM948842	Melon	Spain	Murcia	genbank	cp		
Y22__turkey_2012	CABYV	2012-XX-XX	MT219986.1	Zucchini	Turkey	Antalya	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219986.1	
